n,algorithm,seed,success,time,nodes,solution
8,forward_checking,23,1,6.818771362304688e-05,14,"[7, 2, 0, 5, 1, 4, 6, 3]"
8,forward_checking,24,1,5.7220458984375e-05,11,"[1, 5, 0, 6, 3, 7, 2, 4]"
8,forward_checking,25,1,5.2928924560546875e-05,10,"[5, 7, 1, 3, 0, 6, 4, 2]"
8,forward_checking,26,1,0.00010538101196289062,19,"[7, 2, 0, 5, 1, 4, 6, 3]"
8,forward_checking,27,1,3.933906555175781e-05,9,"[3, 7, 0, 4, 6, 1, 5, 2]"
8,forward_checking,28,1,7.724761962890625e-05,14,"[0, 6, 4, 7, 1, 3, 5, 2]"
8,forward_checking,29,1,3.361701965332031e-05,8,"[5, 3, 0, 4, 7, 1, 6, 2]"
10,backtracking,0,1,0.00023984909057617188,52,"[3, 8, 2, 7, 9, 0, 5, 1, 4, 6]"
10,backtracking,1,1,0.0005156993865966797,114,"[9, 7, 1, 3, 0, 6, 8, 5, 2, 4]"
10,backtracking,2,1,0.0002582073211669922,57,"[8, 4, 1, 3, 0, 9, 7, 5, 2, 6]"
10,backtracking,3,1,0.0005631446838378906,118,"[8, 3, 5, 7, 1, 6, 0, 2, 4, 9]"
10,backtracking,4,1,0.0005068778991699219,111,"[0, 3, 5, 8, 2, 9, 7, 1, 4, 6]"
10,backtracking,5,1,2.7418136596679688e-05,12,"[4, 9, 5, 3, 1, 7, 2, 8, 6, 0]"
10,backtracking,6,1,8.320808410644531e-05,23,"[9, 2, 4, 1, 7, 0, 6, 3, 5, 8]"
10,backtracking,7,1,0.0006995201110839844,147,"[0, 9, 6, 4, 7, 1, 8, 2, 5, 3]"
10,backtracking,8,1,0.0006108283996582031,123,"[1, 8, 4, 9, 0, 3, 5, 7, 2, 6]"
10,backtracking,9,1,0.0001316070556640625,29,"[7, 1, 8, 2, 5, 3, 0, 9, 4, 6]"
10,backtracking,10,1,1.6689300537109375e-05,10,"[9, 1, 4, 8, 3, 0, 7, 5, 2, 6]"
10,backtracking,11,1,0.00013709068298339844,31,"[3, 8, 6, 2, 0, 5, 1, 4, 9, 7]"
10,backtracking,12,1,0.0001556873321533203,36,"[2, 7, 1, 6, 0, 9, 4, 8, 5, 3]"
10,backtracking,13,1,6.532669067382812e-05,18,"[0, 3, 8, 4, 7, 9, 2, 5, 1, 6]"
10,backtracking,14,1,0.00183868408203125,349,"[2, 0, 5, 8, 4, 9, 7, 3, 1, 6]"
10,backtracking,15,1,0.00011777877807617188,29,"[7, 5, 8, 1, 4, 0, 3, 6, 9, 2]"
10,backtracking,16,1,0.0002391338348388672,50,"[4, 7, 0, 2, 5, 8, 6, 9, 3, 1]"
10,backtracking,17,1,7.772445678710938e-05,23,"[0, 8, 5, 1, 6, 9, 2, 4, 7, 3]"
10,backtracking,18,1,0.0005280971527099609,109,"[5, 1, 6, 4, 0, 8, 3, 9, 7, 2]"
10,backtracking,19,1,0.00014257431030273438,32,"[2, 9, 7, 1, 3, 8, 6, 4, 0, 5]"
10,backtracking,20,1,0.00015234947204589844,37,"[0, 4, 9, 5, 8, 1, 3, 6, 2, 7]"
10,backtracking,21,1,0.0003464221954345703,75,"[8, 1, 4, 7, 0, 6, 9, 2, 5, 3]"
10,backtracking,22,1,8.058547973632812e-05,22,"[1, 8, 2, 9, 6, 3, 0, 4, 7, 5]"
10,backtracking,23,1,0.00039577484130859375,83,"[5, 7, 9, 0, 3, 1, 6, 8, 2, 4]"
10,backtracking,24,1,0.0003008842468261719,59,"[6, 0, 5, 8, 1, 3, 7, 2, 4, 9]"
10,backtracking,25,1,0.0002009868621826172,44,"[5, 8, 1, 9, 7, 2, 0, 3, 6, 4]"
10,backtracking,26,1,0.0004153251647949219,89,"[0, 6, 9, 5, 1, 8, 4, 2, 7, 3]"
10,backtracking,27,1,0.0002739429473876953,63,"[9, 6, 4, 1, 7, 0, 2, 8, 5, 3]"
10,backtracking,28,1,0.0001666545867919922,39,"[0, 5, 3, 8, 6, 2, 9, 1, 4, 7]"
10,backtracking,29,1,7.82012939453125e-05,22,"[0, 7, 1, 8, 5, 2, 9, 3, 6, 4]"
10,forward_checking,0,1,0.00023293495178222656,34,"[3, 8, 2, 7, 9, 0, 5, 1, 4, 6]"
10,forward_checking,1,1,0.00040650367736816406,56,"[9, 7, 1, 3, 0, 6, 8, 5, 2, 4]"
10,forward_checking,2,1,0.0001697540283203125,25,"[8, 4, 1, 3, 0, 9, 7, 5, 2, 6]"
10,forward_checking,3,1,0.0003936290740966797,53,"[8, 3, 5, 7, 1, 6, 0, 2, 4, 9]"
10,forward_checking,4,1,0.00035691261291503906,48,"[0, 3, 5, 8, 2, 9, 7, 1, 4, 6]"
10,forward_checking,5,1,6.103515625e-05,10,"[4, 9, 5, 3, 1, 7, 2, 8, 6, 0]"
10,forward_checking,6,1,9.751319885253906e-05,15,"[9, 2, 4, 1, 7, 0, 6, 3, 5, 8]"
10,forward_checking,7,1,0.0005390644073486328,71,"[0, 9, 6, 4, 7, 1, 8, 2, 5, 3]"
10,forward_checking,8,1,0.00043272972106933594,55,"[1, 8, 4, 9, 0, 3, 5, 7, 2, 6]"
10,forward_checking,9,1,0.0001227855682373047,19,"[7, 1, 8, 2, 5, 3, 0, 9, 4, 6]"
10,forward_checking,10,1,5.459785461425781e-05,10,"[9, 1, 4, 8, 3, 0, 7, 5, 2, 6]"
10,forward_checking,11,1,9.608268737792969e-05,14,"[3, 8, 6, 2, 0, 5, 1, 4, 9, 7]"
10,forward_checking,12,1,0.00013184547424316406,18,"[2, 7, 1, 6, 0, 9, 4, 8, 5, 3]"
10,forward_checking,13,1,7.939338684082031e-05,13,"[0, 3, 8, 4, 7, 9, 2, 5, 1, 6]"
10,forward_checking,14,1,0.0012357234954833984,170,"[2, 0, 5, 8, 4, 9, 7, 3, 1, 6]"
10,forward_checking,15,1,9.822845458984375e-05,13,"[7, 5, 8, 1, 4, 0, 3, 6, 9, 2]"
10,forward_checking,16,1,0.000164031982421875,20,"[4, 7, 0, 2, 5, 8, 6, 9, 3, 1]"
10,forward_checking,17,1,9.989738464355469e-05,15,"[0, 8, 5, 1, 6, 9, 2, 4, 7, 3]"
10,forward_checking,18,1,0.00042176246643066406,60,"[5, 1, 6, 4, 0, 8, 3, 9, 7, 2]"
10,forward_checking,19,1,0.0001399517059326172,21,"[2, 9, 7, 1, 3, 8, 6, 4, 0, 5]"
10,forward_checking,20,1,0.0001385211944580078,22,"[0, 4, 9, 5, 8, 1, 3, 6, 2, 7]"
10,forward_checking,21,1,0.00031256675720214844,49,"[8, 1, 4, 7, 0, 6, 9, 2, 5, 3]"
10,forward_checking,22,1,0.00010609626770019531,18,"[1, 8, 2, 9, 6, 3, 0, 4, 7, 5]"
10,forward_checking,23,1,0.0003256797790527344,47,"[5, 7, 9, 0, 3, 1, 6, 8, 2, 4]"
10,forward_checking,24,1,0.00024318695068359375,33,"[6, 0, 5, 8, 1, 3, 7, 2, 4, 9]"
10,forward_checking,25,1,0.00015878677368164062,23,"[5, 8, 1, 9, 7, 2, 0, 3, 6, 4]"
10,forward_checking,26,1,0.0002951622009277344,40,"[0, 6, 9, 5, 1, 8, 4, 2, 7, 3]"
10,forward_checking,27,1,0.00024271011352539062,35,"[9, 6, 4, 1, 7, 0, 2, 8, 5, 3]"
10,forward_checking,28,1,0.000133514404296875,19,"[0, 5, 3, 8, 6, 2, 9, 1, 4, 7]"
10,forward_checking,29,1,0.00010466575622558594,18,"[0, 7, 1, 8, 5, 2, 9, 3, 6, 4]"
12,backtracking,0,1,0.00027632713317871094,44,"[4, 2, 5, 10, 6, 11, 3, 7, 0, 8, 1, 9]"
12,backtracking,1,1,0.001069784164428711,166,"[11, 2, 8, 6, 3, 1, 10, 5, 0, 9, 7, 4]"
12,backtracking,2,1,0.00011205673217773438,24,"[7, 11, 3, 0, 6, 9, 2, 10, 1, 4, 8, 5]"
12,backtracking,3,1,0.0004119873046875,53,"[11, 6, 4, 0, 8, 5, 2, 10, 1, 7, 9, 3]"
12,backtracking,4,1,0.0021505355834960938,308,"[0, 9, 4, 6, 1, 10, 7, 11, 3, 8, 2, 5]"
12,backtracking,5,1,0.00012564659118652344,22,"[8, 5, 3, 0, 11, 4, 1, 9, 6, 2, 10, 7]"
12,backtracking,6,1,0.0015881061553955078,228,"[3, 10, 7, 5, 2, 0, 6, 11, 9, 1, 4, 8]"
12,backtracking,7,1,0.0006749629974365234,95,"[6, 8, 0, 2, 9, 5, 10, 1, 4, 11, 7, 3]"
12,backtracking,8,1,0.00010848045349121094,22,"[9, 2, 5, 10, 6, 1, 11, 7, 0, 3, 8, 4]"
12,backtracking,9,1,9.202957153320312e-05,19,"[4, 2, 10, 5, 11, 8, 0, 7, 3, 1, 6, 9]"
12,backtracking,10,1,0.0003094673156738281,53,"[0, 2, 9, 6, 3, 10, 8, 11, 4, 1, 7, 5]"
12,backtracking,11,1,0.0009784698486328125,139,"[9, 6, 1, 5, 11, 0, 7, 10, 4, 2, 8, 3]"
12,backtracking,12,1,0.00015163421630859375,30,"[9, 0, 10, 3, 6, 11, 1, 8, 5, 2, 4, 7]"
12,backtracking,13,1,0.0006818771362304688,91,"[3, 5, 7, 1, 11, 0, 8, 4, 2, 9, 6, 10]"
12,backtracking,14,1,2.86102294921875e-05,12,"[2, 6, 11, 7, 0, 3, 9, 4, 1, 8, 10, 5]"
12,backtracking,15,1,0.0002627372741699219,45,"[7, 11, 4, 6, 1, 3, 10, 8, 2, 5, 9, 0]"
12,backtracking,16,1,6.079673767089844e-05,17,"[9, 1, 6, 4, 11, 8, 0, 5, 10, 2, 7, 3]"
12,backtracking,17,1,0.0009741783142089844,138,"[3, 9, 2, 10, 8, 11, 5, 1, 6, 0, 7, 4]"
12,backtracking,18,1,0.0006895065307617188,102,"[2, 7, 9, 0, 5, 1, 10, 6, 11, 3, 8, 4]"
12,backtracking,19,1,0.0016374588012695312,245,"[10, 8, 2, 5, 3, 0, 7, 11, 4, 6, 1, 9]"
12,backtracking,20,1,0.0007936954498291016,121,"[1, 10, 7, 5, 0, 2, 4, 11, 8, 3, 9, 6]"
12,backtracking,21,1,0.0001354217529296875,27,"[10, 8, 5, 1, 4, 7, 0, 11, 9, 2, 6, 3]"
12,backtracking,22,1,6.461143493652344e-05,17,"[3, 9, 7, 4, 2, 11, 6, 1, 10, 8, 5, 0]"
12,backtracking,23,1,0.00016999244689941406,31,"[7, 4, 11, 1, 6, 9, 3, 8, 0, 2, 10, 5]"
