size,dirt_rate,run,performance,total_actions,execution_time,successful_actions,success_rate,agent_class,strategy,seed
32x32,0.1,7,9,1000,17.55127716064453,1000,1.0,RandomAgent,Elige acciones al azar,12361
32x32,0.1,8,9,1000,14.790133953094482,1000,1.0,RandomAgent,Elige acciones al azar,12361
32x32,0.1,9,9,1000,21.661351442337036,1000,1.0,RandomAgent,Elige acciones al azar,12361
32x32,0.1,10,9,1000,22.315725088119507,1000,1.0,RandomAgent,Elige acciones al azar,12361
32x32,0.2,1,17,1000,20.841745138168335,1000,1.0,RandomAgent,Elige acciones al azar,12362
32x32,0.2,2,17,1000,15.545173168182373,1000,1.0,RandomAgent,Elige acciones al azar,12362
32x32,0.2,3,17,1000,18.811092853546143,1000,1.0,RandomAgent,Elige acciones al azar,12362
32x32,0.2,4,17,1000,20.685980796813965,1000,1.0,RandomAgent,Elige acciones al azar,12362
32x32,0.2,5,17,1000,16.135209560394287,1000,1.0,RandomAgent,Elige acciones al azar,12362
32x32,0.2,6,17,1000,21.3569495677948,1000,1.0,RandomAgent,Elige acciones al azar,12362
32x32,0.2,7,17,1000,16.303722858428955,1000,1.0,RandomAgent,Elige acciones al azar,12362
32x32,0.2,8,17,1000,19.840298414230347,1000,1.0,RandomAgent,Elige acciones al azar,12362
32x32,0.2,9,17,1000,18.6554172039032,1000,1.0,RandomAgent,Elige acciones al azar,12362
32x32,0.2,10,17,1000,21.70562744140625,1000,1.0,RandomAgent,Elige acciones al azar,12362
32x32,0.4,1,38,1000,15.75703477859497,1000,1.0,RandomAgent,Elige acciones al azar,12363
32x32,0.4,2,38,1000,14.277233123779297,1000,1.0,RandomAgent,Elige acciones al azar,12363
32x32,0.4,3,38,1000,12.505493402481079,1000,1.0,RandomAgent,Elige acciones al azar,12363
32x32,0.4,4,38,1000,12.629340410232544,1000,1.0,RandomAgent,Elige acciones al azar,12363
32x32,0.4,5,38,1000,22.615927934646606,1000,1.0,RandomAgent,Elige acciones al azar,12363
32x32,0.4,6,38,1000,12.9282865524292,1000,1.0,RandomAgent,Elige acciones al azar,12363
32x32,0.4,7,38,1000,21.827260494232178,1000,1.0,RandomAgent,Elige acciones al azar,12363
32x32,0.4,8,38,1000,13.248654842376709,1000,1.0,RandomAgent,Elige acciones al azar,12363
32x32,0.4,9,38,1000,12.627330541610718,1000,1.0,RandomAgent,Elige acciones al azar,12363
32x32,0.4,10,38,1000,12.431197881698608,1000,1.0,RandomAgent,Elige acciones al azar,12363
32x32,0.8,1,79,1000,13.493722677230835,1000,1.0,RandomAgent,Elige acciones al azar,12364
32x32,0.8,2,79,1000,13.347586870193481,1000,1.0,RandomAgent,Elige acciones al azar,12364
32x32,0.8,3,79,1000,16.85046100616455,1000,1.0,RandomAgent,Elige acciones al azar,12364
32x32,0.8,4,79,1000,16.48067855834961,1000,1.0,RandomAgent,Elige acciones al azar,12364
32x32,0.8,5,79,1000,12.516765832901001,1000,1.0,RandomAgent,Elige acciones al azar,12364
32x32,0.8,6,79,1000,13.104858160018921,1000,1.0,RandomAgent,Elige acciones al azar,12364
32x32,0.8,7,79,1000,12.609275341033936,1000,1.0,RandomAgent,Elige acciones al azar,12364
32x32,0.8,8,79,1000,12.392444849014282,1000,1.0,RandomAgent,Elige acciones al azar,12364
32x32,0.8,9,79,1000,13.435210704803467,1000,1.0,RandomAgent,Elige acciones al azar,12364
32x32,0.8,10,79,1000,12.443744421005249,1000,1.0,RandomAgent,Elige acciones al azar,12364
64x64,0.1,1,9,1000,12.597841739654541,1000,1.0,RandomAgent,Elige acciones al azar,12365
64x64,0.1,2,9,1000,6.413447618484497,1000,1.0,RandomAgent,Elige acciones al azar,12365
64x64,0.1,3,9,1000,6.430266857147217,1000,1.0,RandomAgent,Elige acciones al azar,12365
64x64,0.1,4,9,1000,6.94313383102417,1000,1.0,RandomAgent,Elige acciones al azar,12365
64x64,0.1,5,9,1000,7.310935020446777,1000,1.0,RandomAgent,Elige acciones al azar,12365
64x64,0.1,6,9,1000,7.827051877975464,1000,1.0,RandomAgent,Elige acciones al azar,12365
64x64,0.1,7,9,1000,7.808020830154419,1000,1.0,RandomAgent,Elige acciones al azar,12365
64x64,0.1,8,9,1000,7.816654920578003,1000,1.0,RandomAgent,Elige acciones al azar,12365
64x64,0.1,9,9,1000,9.107844352722168,1000,1.0,RandomAgent,Elige acciones al azar,12365
64x64,0.1,10,9,1000,8.254932165145874,1000,1.0,RandomAgent,Elige acciones al azar,12365
64x64,0.2,1,22,1000,7.609358787536621,1000,1.0,RandomAgent,Elige acciones al azar,12366
64x64,0.2,2,22,1000,6.394115447998047,1000,1.0,RandomAgent,Elige acciones al azar,12366
64x64,0.2,3,22,1000,6.415072917938232,1000,1.0,RandomAgent,Elige acciones al azar,12366
64x64,0.2,4,22,1000,7.004554271697998,1000,1.0,RandomAgent,Elige acciones al azar,12366
64x64,0.2,5,22,1000,8.522799015045166,1000,1.0,RandomAgent,Elige acciones al azar,12366
64x64,0.2,6,22,1000,8.830028533935547,1000,1.0,RandomAgent,Elige acciones al azar,12366
64x64,0.2,7,22,1000,8.827873468399048,1000,1.0,RandomAgent,Elige acciones al azar,12366
64x64,0.2,8,22,1000,8.64318561553955,1000,1.0,RandomAgent,Elige acciones al azar,12366
64x64,0.2,9,22,1000,8.374933242797852,1000,1.0,RandomAgent,Elige acciones al azar,12366
64x64,0.2,10,22,1000,8.501375913619995,1000,1.0,RandomAgent,Elige acciones al azar,12366
64x64,0.4,1,44,1000,8.739366054534912,1000,1.0,RandomAgent,Elige acciones al azar,12367
64x64,0.4,2,44,1000,9.259862899780273,1000,1.0,RandomAgent,Elige acciones al azar,12367
64x64,0.4,3,44,1000,9.349555969238281,1000,1.0,RandomAgent,Elige acciones al azar,12367
64x64,0.4,4,44,1000,8.127212285995483,1000,1.0,RandomAgent,Elige acciones al azar,12367
64x64,0.4,5,44,1000,8.005828380584717,1000,1.0,RandomAgent,Elige acciones al azar,12367
64x64,0.4,6,44,1000,6.741076946258545,1000,1.0,RandomAgent,Elige acciones al azar,12367
64x64,0.4,7,44,1000,6.5636866092681885,1000,1.0,RandomAgent,Elige acciones al azar,12367
64x64,0.4,8,44,1000,7.3568079471588135,1000,1.0,RandomAgent,Elige acciones al azar,12367
64x64,0.4,9,44,1000,7.232828140258789,1000,1.0,RandomAgent,Elige acciones al azar,12367
64x64,0.4,10,44,1000,6.57490611076355,1000,1.0,RandomAgent,Elige acciones al azar,12367
64x64,0.8,1,65,1000,8.381154537200928,1000,1.0,RandomAgent,Elige acciones al azar,12368
64x64,0.8,2,65,1000,7.003523349761963,1000,1.0,RandomAgent,Elige acciones al azar,12368
64x64,0.8,3,65,1000,7.559974908828735,1000,1.0,RandomAgent,Elige acciones al azar,12368
64x64,0.8,4,65,1000,8.890840291976929,1000,1.0,RandomAgent,Elige acciones al azar,12368
64x64,0.8,5,65,1000,8.716131925582886,1000,1.0,RandomAgent,Elige acciones al azar,12368
64x64,0.8,6,65,1000,8.79013705253601,1000,1.0,RandomAgent,Elige acciones al azar,12368
64x64,0.8,7,65,1000,9.113437414169312,1000,1.0,RandomAgent,Elige acciones al azar,12368
64x64,0.8,8,65,1000,8.336492776870728,1000,1.0,RandomAgent,Elige acciones al azar,12368
64x64,0.8,9,65,1000,8.815654754638672,1000,1.0,RandomAgent,Elige acciones al azar,12368
